Date,l_gdp_obs,dla_cpi_obs,rs_obs,dla_gdp_obs
2016-07-01,9.86255617703399,2.0813827009202868,0.4,2.8269407743934494
2016-10-01,9.868088328184262,1.8462349925560062,0.45,2.212860460108601
2017-01-01,9.872940712345807,2.0610978271690783,0.7,1.9409536646179504
2017-04-01,9.878523528116899,1.0591897817214146,0.95,2.2331263084367947
2017-07-01,9.886382084633189,1.5494788303502816,1.15,3.1434226065158555
2017-10-01,9.897590197270045,2.2925415137589056,1.2,4.4832450547424685
2018-01-01,9.905690125091317,2.878997719666998,1.45,3.2399711285087562
2018-04-01,9.91098438096275,2.073380137401415,1.74,2.1177023485734026
2018-07-01,9.91720306342207,1.441431806577853,1.92,2.487472983727912
2018-10-01,9.918617515212924,2.2989324266312394,2.22,0.5657807163416351
2019-01-01,9.924838000946778,2.612148817397042,2.4,2.488194293541568
2019-04-01,9.933157999030657,1.7497940952633684,2.4,3.3279992335515374
2019-07-01,9.944787832659587,2.326268610753246,2.19,4.651933451572177
2019-10-01,9.951582236820244,2.5162495772892868,1.64,2.717761664262497
2020-01-01,9.937560422869263,2.3043476678399344,1.26,-5.60872558039236
2020-04-01,9.855168777245499,-2.0693999407178865,0.06,-32.956658249505466
2020-07-01,9.930557824058791,3.8643010927497556,0.09,30.155618725316913
2020-10-01,9.94134676234114,2.4202673983445777,0.09,4.315575312939757
2021-01-01,9.955054809392534,1.4882829813860354,0.08,5.483218820557312
2021-04-01,9.970632050165458,6.8546419255195445,0.07,6.230896309169509
2021-07-01,9.97912364223756,5.141653616074038,0.09,3.396636828841082
2021-10-01,9.996996110393825,6.112221545826202,0.08,7.148987262505813
2022-01-01,9.994419982141622,6.448184994325956,0.12,-1.0304513008811966
2022-04-01,9.995118244045578,5.70978332077523,0.77,0.2793047615824662
2022-07-01,10.001829495534809,6.078694209232438,2.19,2.6845005956921852
2022-10-01,10.010074815431777,4.996840659229207,3.65,3.2981279587872336
2023-01-01,10.016968012039131,4.753632131827601,4.52,2.757278642941685
2023-04-01,10.023020167896076,4.5794336332033225,4.99,2.420862342778207
2023-07-01,10.03367774456139,2.9448876388990186,5.26,4.263030666125189
2023-10-01,10.041534982496238,3.3500440958952993,5.33,3.1428951739393085
2024-01-01,10.045572880715476,4.107604966990053,5.33,1.6151592876951781
2024-04-01,10.052937199804738,3.0658360912685367,5.33,2.9457276357049977
2024-07-01,10.06050412177643,2.3478352814155556,5.26,3.0267687886770034
2024-10-01,10.066299189190984,3.318808023398745,4.65,2.3180269658212183
